source_id,tract_geoid
CH4_1B2_250m_-104.03388_32.34364?status=not_deleted,35015000700
CH4_1B2_250m_-104.48453_32.07371?status=not_deleted,35015000700
CH4_1B2_250m_-104.33582_32.17244?status=not_deleted,35015000700
CH4_1B2_250m_-104.17019_32.29349?status=not_deleted,35015000800
CH4_1B2_250m_-104.10341_32.32902?status=not_deleted,35015000700
CH4_1B2_250m_-104.02369_32.37932?status=not_deleted,35015000700
CH4_1B2_250m_-104.13624_32.31408?status=not_deleted,35015000700
CH4_1B2_250m_-104.20896_32.29872?status=not_deleted,35015000700
CH4_1B2_250m_-104.20444_32.31160?status=not_deleted,35015000700
CH4_1B2_250m_-104.20738_32.30908?status=not_deleted,35015000700
CH4_1B2_250m_-104.21869_32.29668?status=not_deleted,35015000700
CH4_1B2_250m_-104.28412_32.24302?status=not_deleted,35015000700
CH4_1B2_250m_-104.20305_32.33833?status=not_deleted,35015000700
CH4_1B2_250m_-104.23160_32.30854?status=not_deleted,35015000700
CH4_1B2_250m_-103.98731_32.48966?status=not_deleted,35015000700
CH4_1B2_250m_-104.23661_32.35264?status=not_deleted,35015000700
CH4_1B2_250m_-104.50466_32.22673?status=not_deleted,35015000700
CH4_1B2_250m_-104.06065_32.49924?status=not_deleted,35015000700
CH4_1B2_250m_-104.06588_32.48620?status=not_deleted,35015000700
CH4_1B2_250m_-104.08532_32.47879?status=not_deleted,35015000700
CH4_1B2_250m_-104.11960_32.47231?status=not_deleted,35015000700
CH4_1B2_250m_-104.20659_32.41776?status=not_deleted,35015000200
CH4_1B2_250m_-104.32454_32.34610?status=not_deleted,35015000700
CH4_1B2_250m_-104.14672_32.48618?status=not_deleted,35015000700
CH4_1B2_250m_-104.45977_32.31235?status=not_deleted,35015000700
CH4_1B2_250m_-104.29146_32.39955?status=not_deleted,35015000401
CH4_1B2_250m_-104.30824_32.37923?status=not_deleted,35015000401
CH4_1B2_250m_-104.15087_32.51961?status=not_deleted,35015000700
CH4_1B2_250m_-104.12219_32.54745?status=not_deleted,35015000900
CH4_1B2_250m_-104.11560_32.56809?status=not_deleted,35015000900
CH4_1B2_250m_-104.10790_32.55833?status=not_deleted,35015000900
CH4_1B2_250m_-104.07769_32.58629?status=not_deleted,35015000900
CH4_1B2_250m_-104.09042_32.59264?status=not_deleted,35015000900
CH4_1B2_250m_-104.07231_32.60043?status=not_deleted,35015000900
CH4_1B2_250m_-104.28205_32.48660?status=not_deleted,35015000700
CH4_1B2_250m_-104.33072_32.47284?status=not_deleted,35015000700
CH4_1B2_250m_-104.10641_32.62572?status=not_deleted,35015000900
CH4_1B2_250m_-104.22865_32.56317?status=not_deleted,35015000900
CH4_1B2_250m_-104.20460_32.58680?status=not_deleted,35015000900
CH4_1B2_250m_-104.17110_32.65830?status=not_deleted,35015000900
CH4_1B2_250m_-104.30651_32.56153?status=not_deleted,35015000900
CH4_1B2_250m_-104.25986_32.58989?status=not_deleted,35015000900
CH4_1B2_250m_-104.15612_32.65473?status=not_deleted,35015000900
CH4_1B2_250m_-104.14403_32.65377?status=not_deleted,35015000900
CH4_1B2_250m_-104.54222_32.42108?status=not_deleted,35015000700
CH4_1B2_250m_-104.25882_32.65858?status=not_deleted,35015000900
CH4_1B2_250m_-104.51846_32.50686?status=not_deleted,35015000700
CH4_1B2_250m_-104.13080_32.47252?status=not_deleted,35015000700
CH4_1B2_250m_-104.09202_32.47612?status=not_deleted,35015000700
CH4_1B2_250m_-104.06272_32.49718?status=not_deleted,35015000700
CH4_1B2_250m_-103.60355_32.41635?status=not_deleted,35025000900
CH4_1B2_250m_-103.04968_32.21988?status=not_deleted,48003950100
CH4_1B2_250m_-103.28147_32.30616?status=not_deleted,35025000900
CH4_1B2_250m_-103.31482_32.32274?status=not_deleted,35025000900
CH4_1B2_250m_-103.36031_32.34182?status=not_deleted,35025000800
CH4_1B2_250m_-103.04512_32.17947?status=not_deleted,48003950100
CH4_1B2_250m_-103.03398_32.17843?status=not_deleted,48003950100
CH4_1B2_250m_-103.82636_32.37582?status=not_deleted,35015000800
CH4_1B2_250m_-103.71745_32.23259?status=not_deleted,35025000900
CH4_1B2_250m_-103.64530_32.16395?status=not_deleted,35025000900
CH4_1B2_250m_-103.62444_32.15022?status=not_deleted,35025000900
CH4_1B2_250m_-103.58725_32.11475?status=not_deleted,35025000900
CH4_1B2_250m_-103.56358_32.08725?status=not_deleted,35025000900
CH4_1B2_250m_-103.83700_32.33579?status=not_deleted,35015000800
CH4_1B2_250m_-103.78876_32.26326?status=not_deleted,35015000800
CH4_1B2_250m_-103.67354_32.08023?status=not_deleted,35025000900
CH4_1B2_250m_-103.62657_32.01844?status=not_deleted,35025000900
CH4_1B2_250m_-103.73798_32.09319?status=not_deleted,35015000800
CH4_1B2_250m_-103.84738_32.20953?status=not_deleted,35015000800
CH4_1B2_250m_-103.99230_32.26822?status=not_deleted,35015000800
CH4_1B2_250m_-103.98540_32.19268?status=not_deleted,35015000800
CH4_1B2_250m_-103.95203_32.15585?status=not_deleted,35015000800
CH4_1B2_250m_-103.87991_32.04890?status=not_deleted,35015000800
CH4_1B2_250m_-103.93941_32.15935?status=not_deleted,35015000800
CH4_1B2_250m_-103.87554_32.05651?status=not_deleted,35015000800
CH4_1B2_250m_-104.12294_32.26978?status=not_deleted,35015000800
CH4_1B2_250m_-104.04824_32.22556?status=not_deleted,35015000800
CH4_1B2_250m_-103.99327_32.13081?status=not_deleted,35015000800
CH4_1B2_250m_-103.87335_32.01849?status=not_deleted,35015000800
CH4_1B2_250m_-104.01662_32.15479?status=not_deleted,35015000800
CH4_1B2_250m_-104.11709_32.26172?status=not_deleted,35015000800
CH4_1B2_250m_-104.11962_32.25559?status=not_deleted,35015000800
CH4_1B2_250m_-104.05524_32.16649?status=not_deleted,35015000800
CH4_1B2_250m_-103.96944_32.02133?status=not_deleted,35015000800
CH4_1B2_250m_-103.97406_32.02113?status=not_deleted,35015000800
CH4_1B2_250m_-103.96638_32.02008?status=not_deleted,35015000800
CH4_1B2_250m_-104.14365_32.15748?status=not_deleted,35015000800
CH4_1B2_250m_-104.15870_32.10901?status=not_deleted,35015000800
CH4_1B2_250m_-104.22825_32.19621?status=not_deleted,35015000700
CH4_1B2_250m_-104.24234_32.17129?status=not_deleted,35015000700
CH4_1B2_250m_-104.23895_32.22660?status=not_deleted,35015000700
CH4_1B2_250m_-104.22841_32.15583?status=not_deleted,35015000800
CH4_1B2_250m_-104.05500_32.04994?status=not_deleted,35015000800
CH4_1B2_250m_-104.19420_32.21065?status=not_deleted,35015000800
CH4_1B2_250m_-104.06633_32.10489?status=not_deleted,35015000800
CH4_1B2_250m_-104.07093_32.15123?status=not_deleted,35015000800
CH4_1B2_250m_-104.13458_32.25386?status=not_deleted,35015000800
CH4_1B2_250m_-103.99809_32.15252?status=not_deleted,35015000800
CH4_1B2_250m_-104.01233_32.17998?status=not_deleted,35015000800
CH4_1B2_250m_-104.08382_32.22969?status=not_deleted,35015000800
CH4_1B2_250m_-104.06517_32.27080?status=not_deleted,35015000800
CH4_1B2_250m_-104.02878_32.29233?status=not_deleted,35015000800
CH4_1B2_250m_-103.74739_32.06519?status=not_deleted,35015000800
CH4_1B2_250m_-103.94521_32.25147?status=not_deleted,35015000800
CH4_1B2_250m_-103.68946_32.02055?status=not_deleted,35025000900
CH4_1B2_250m_-103.66151_32.06561?status=not_deleted,35025000900
CH4_1B2_250m_-103.68320_32.07867?status=not_deleted,35025000900
CH4_1B2_250m_-103.86167_32.28597?status=not_deleted,35015000800
CH4_1B2_250m_-103.86785_32.36897?status=not_deleted,35015000700
CH4_1B2_250m_-103.72977_32.18207?status=not_deleted,35015000800
CH4_1B2_250m_-103.65313_32.17066?status=not_deleted,35025000900
CH4_1B2_250m_-103.60478_32.13861?status=not_deleted,35025000900
CH4_1B2_250m_-103.57241_32.06275?status=not_deleted,35025000900
CH4_1B2_250m_-103.58300_32.03522?status=not_deleted,35025000900
CH4_1B2_250m_-103.72157_32.25259?status=not_deleted,35025000900
CH4_1B2_250m_-103.93947_32.04653?status=not_deleted,35015000800
CH4_1B2_250m_-104.08560_32.04900?status=not_deleted,35015000800
CH4_1B2_250m_-104.04922_32.04396?status=not_deleted,35015000800
CH4_1B2_250m_-104.17099_32.03541?status=not_deleted,35015000800
CH4_1B2_250m_-103.93956_32.03626?status=not_deleted,35015000800
CH4_1B2_250m_-103.17221_32.08788?status=not_deleted,35025000900
CH4_1B2_250m_-103.21347_32.05266?status=not_deleted,35025000900
CH4_1B2_250m_-103.05645_32.14972?status=not_deleted,48003950100
CH4_1B2_250m_-103.12372_32.15417?status=not_deleted,35025000900
CH4_1B2_250m_-103.35256_32.01183?status=not_deleted,35025000900
CH4_1B2_250m_-103.37511_32.03059?status=not_deleted,35025000900
CH4_1B2_250m_-103.13342_32.20206?status=not_deleted,35025000900
CH4_1B2_250m_-103.17187_32.18832?status=not_deleted,35025000900
CH4_1B2_250m_-103.17527_32.17291?status=not_deleted,35025000900
CH4_1B2_250m_-103.46834_32.02191?status=not_deleted,35025000900
CH4_1B2_250m_-103.17436_32.22650?status=not_deleted,35025000900
CH4_1B2_250m_-103.46885_32.04896?status=not_deleted,35025000900
CH4_1B2_250m_-103.44384_32.06694?status=not_deleted,35025000900
CH4_1B2_250m_-103.19416_32.25672?status=not_deleted,35025000900
CH4_1B2_250m_-103.23391_32.25220?status=not_deleted,35025000900
CH4_1B2_250m_-103.54520_32.09523?status=not_deleted,35025000900
CH4_1B2_250m_-103.55564_32.11024?status=not_deleted,35025000900
CH4_1B2_250m_-103.54153_32.12347?status=not_deleted,35025000900
CH4_1B2_250m_-103.26652_32.26258?status=not_deleted,35025000900
CH4_1B2_250m_-103.50500_32.16797?status=not_deleted,35025000900
CH4_1B2_250m_-103.44431_32.21309?status=not_deleted,35025000900
CH4_1B2_250m_-103.55829_32.12436?status=not_deleted,35025000900
CH4_1B2_250m_-103.53076_32.18159?status=not_deleted,35025000900
CH4_1B2_250m_-103.43744_32.26762?status=not_deleted,35025000900
CH4_1B2_250m_-103.52099_32.24863?status=not_deleted,35025000900
CH4_1B2_250m_-103.54919_32.24357?status=not_deleted,35025000900
CH4_1B2_250m_-103.58546_32.22580?status=not_deleted,35025000900
CH4_1B2_250m_-103.57945_32.19695?status=not_deleted,35025000900
CH4_1B2_250m_-103.59464_32.21308?status=not_deleted,35025000900
CH4_1B2_250m_-103.25901_32.40086?status=not_deleted,35025000800
CH4_1B2_250m_-103.27462_32.36377?status=not_deleted,35025000900
CH4_1B2_250m_-103.60094_32.20741?status=not_deleted,35025000900
CH4_1B2_250m_-103.15326_32.48717?status=not_deleted,35025000800
CH4_1B2_250m_-103.21087_32.42873?status=not_deleted,35025000800
CH4_1B2_250m_-103.38695_32.40093?status=not_deleted,35025000800
CH4_1B2_250m_-103.73194_32.18762?status=not_deleted,35015000800
CH4_1B2_250m_-103.60434_32.34032?status=not_deleted,35025000900
CH4_1B2_250m_-103.36959_32.17592?status=not_deleted,35025000900
CH4_1B2_250m_-103.45091_32.20840?status=not_deleted,35025000900
CH4_1B2_250m_-103.52846_32.22081?status=not_deleted,35025000900
CH4_1B2_250m_-103.51497_32.22431?status=not_deleted,35025000900
CH4_1B2_250m_-104.29220_32.02085?status=not_deleted,35015000800
CH4_1B2_250m_-103.98181_32.05106?status=not_deleted,35015000800
CH4_1B2_250m_-104.07143_32.12364?status=not_deleted,35015000800
CH4_1B2_250m_-103.93141_32.30661?status=not_deleted,35015000800
CH4_1B2_250m_-103.97847_32.21261?status=not_deleted,35015000800
CH4_1B2_250m_-103.97875_32.20788?status=not_deleted,35015000800
CH4_1B2_250m_-103.73362_32.00694?status=not_deleted,35015000800
CH4_1B2_250m_-103.25545_32.62253?status=not_deleted,35025000702
CH4_1B2_250m_-103.73022_32.34086?status=not_deleted,35015000800
CH4_1B2_250m_-103.53933_32.44154?status=not_deleted,35025000900
CH4_1B2_250m_-103.49401_32.46412?status=not_deleted,35025000702
CH4_1B2_250m_-103.73943_32.30913?status=not_deleted,35015000800
CH4_1B2_250m_-103.79003_32.28112?status=not_deleted,35015000800
CH4_1B2_250m_-103.28828_32.51360?status=not_deleted,35025000800
CH4_1B2_250m_-103.80919_32.21001?status=not_deleted,35015000800
CH4_1B2_250m_-103.68151_32.29144?status=not_deleted,35025000900
CH4_1B2_250m_-103.48119_32.38626?status=not_deleted,35025000900
CH4_1B2_250m_-103.55605_32.29810?status=not_deleted,35025000900
CH4_1B2_250m_-103.64775_32.23936?status=not_deleted,35025000900
CH4_1B2_250m_-103.77624_32.18291?status=not_deleted,35015000800
CH4_1B2_250m_-103.73251_32.16705?status=not_deleted,35015000800
CH4_1B2_250m_-103.55830_32.30098?status=not_deleted,35025000900
