NAME,B01003_001E,B17001_002E,B03002_003E,B03002_012E,B08201_002E,state,county,tract,block group
Block Group 2; Census Tract 9.08; Bernalillo County; New Mexico,730,,79,521,,35,001,000908,2
Block Group 3; Census Tract 9.08; Bernalillo County; New Mexico,1451,,53,1260,,35,001,000908,3
Block Group 4; Census Tract 9.08; Bernalillo County; New Mexico,1487,,62,1198,,35,001,000908,4
Block Group 1; Census Tract 11.01; Bernalillo County; New Mexico,1249,,765,309,,35,001,001101,1
Block Group 2; Census Tract 11.01; Bernalillo County; New Mexico,593,,334,177,,35,001,001101,2
Block Group 3; Census Tract 11.01; Bernalillo County; New Mexico,2180,,1166,776,,35,001,001101,3
Block Group 1; Census Tract 11.02; Bernalillo County; New Mexico,613,,469,120,,35,001,001102,1
Block Group 2; Census Tract 11.02; Bernalillo County; New Mexico,853,,540,216,,35,001,001102,2
Block Group 3; Census Tract 11.02; Bernalillo County; New Mexico,1367,,202,917,,35,001,001102,3
Block Group 1; Census Tract 12.01; Bernalillo County; New Mexico,747,,585,135,,35,001,001201,1
Block Group 2; Census Tract 12.01; Bernalillo County; New Mexico,1866,,373,1001,,35,001,001201,2
Block Group 3; Census Tract 12.01; Bernalillo County; New Mexico,807,,387,328,,35,001,001201,3
Block Group 4; Census Tract 12.01; Bernalillo County; New Mexico,520,,226,262,,35,001,001201,4
Block Group 1; Census Tract 12.02; Bernalillo County; New Mexico,1188,,242,812,,35,001,001202,1
Block Group 2; Census Tract 12.02; Bernalillo County; New Mexico,1845,,396,1231,,35,001,001202,2
Block Group 1; Census Tract 13; Bernalillo County; New Mexico,811,,50,736,,35,001,001300,1
Block Group 2; Census Tract 13; Bernalillo County; New Mexico,1475,,191,1074,,35,001,001300,2
Block Group 3; Census Tract 13; Bernalillo County; New Mexico,673,,126,349,,35,001,001300,3
Block Group 4; Census Tract 13; Bernalillo County; New Mexico,1417,,82,1245,,35,001,001300,4
Block Group 1; Census Tract 14; Bernalillo County; New Mexico,821,,114,664,,35,001,001400,1
Block Group 2; Census Tract 14; Bernalillo County; New Mexico,1098,,273,701,,35,001,001400,2
Block Group 1; Census Tract 15; Bernalillo County; New Mexico,772,,409,263,,35,001,001500,1
Block Group 2; Census Tract 15; Bernalillo County; New Mexico,2077,,336,1567,,35,001,001500,2
Block Group 1; Census Tract 17.01; Bernalillo County; New Mexico,1248,,1039,123,,35,001,001701,1
Block Group 2; Census Tract 17.01; Bernalillo County; New Mexico,870,,810,30,,35,001,001701,2
Block Group 1; Census Tract 17.02; Bernalillo County; New Mexico,970,,521,212,,35,001,001702,1
Block Group 2; Census Tract 17.02; Bernalillo County; New Mexico,768,,174,211,,35,001,001702,2
Block Group 3; Census Tract 17.02; Bernalillo County; New Mexico,609,,191,390,,35,001,001702,3
Block Group 1; Census Tract 18; Bernalillo County; New Mexico,626,,255,184,,35,001,001800,1
Block Group 2; Census Tract 18; Bernalillo County; New Mexico,1851,,764,655,,35,001,001800,2
Block Group 1; Census Tract 20; Bernalillo County; New Mexico,1217,,249,637,,35,001,002000,1
Block Group 2; Census Tract 20; Bernalillo County; New Mexico,1218,,306,906,,35,001,002000,2
Block Group 1; Census Tract 21; Bernalillo County; New Mexico,1705,,568,754,,35,001,002100,1
Block Group 1; Census Tract 22; Bernalillo County; New Mexico,1627,,687,624,,35,001,002200,1
Block Group 2; Census Tract 22; Bernalillo County; New Mexico,742,,236,369,,35,001,002200,2
Block Group 3; Census Tract 22; Bernalillo County; New Mexico,1004,,776,104,,35,001,002200,3
Block Group 1; Census Tract 23.01; Bernalillo County; New Mexico,411,,0,411,,35,001,002301,1
Block Group 2; Census Tract 23.01; Bernalillo County; New Mexico,1440,,6,1434,,35,001,002301,2
Block Group 1; Census Tract 23.02; Bernalillo County; New Mexico,1372,,34,1331,,35,001,002302,1
Block Group 2; Census Tract 23.02; Bernalillo County; New Mexico,1806,,83,1490,,35,001,002302,2
Block Group 1; Census Tract 23.03; Bernalillo County; New Mexico,1325,,156,1128,,35,001,002303,1
