NAME,B01003_001E,C17002_002E,C17002_003E,B03002_003E,B03002_012E,B25044_003E,B25044_010E,state,county,tract,block group,total_pop,pct_poverty_proxy,pct_minority,pct_hispanic,pct_no_vehicle,GEOID
Block Group 1; Census Tract 7.13; Bernalillo County; New Mexico,1004,0,579,256,561,0,132,35,001,000713,1,1004,57.66932270916335,74.5019920318725,55.87649402390438,13.147410358565736,350010007131
Block Group 2; Census Tract 7.13; Bernalillo County; New Mexico,1546,290,251,592,562,0,63,35,001,000713,2,1546,34.99353169469599,61.707632600258734,36.35187580853817,4.07503234152652,350010007132
Block Group 3; Census Tract 7.13; Bernalillo County; New Mexico,1275,0,31,599,636,22,0,35,001,000713,3,1275,2.431372549019608,53.019607843137265,49.88235294117647,1.7254901960784312,350010007133
Block Group 4; Census Tract 7.13; Bernalillo County; New Mexico,1631,460,147,1019,548,0,253,35,001,000713,4,1631,37.21643163703249,37.5229920294298,33.59901900674433,15.511955855303494,350010007134
Block Group 1; Census Tract 7.14; Bernalillo County; New Mexico,552,0,0,251,157,0,0,35,001,000714,1,552,0.0,54.528985507246375,28.442028985507246,0.0,350010007141
Block Group 2; Census Tract 7.14; Bernalillo County; New Mexico,1848,280,0,615,632,0,0,35,001,000714,2,1848,15.151515151515152,66.7207792207792,34.1991341991342,0.0,350010007142
Block Group 3; Census Tract 7.14; Bernalillo County; New Mexico,1362,51,205,334,912,21,0,35,001,000714,3,1362,18.79588839941263,75.47723935389133,66.96035242290749,1.5418502202643172,350010007143
Block Group 4; Census Tract 7.14; Bernalillo County; New Mexico,1264,4,2,685,77,9,0,35,001,000714,4,1264,0.4746835443037975,45.80696202531646,6.091772151898734,0.7120253164556962,350010007144
Block Group 1; Census Tract 7.15; Bernalillo County; New Mexico,2630,252,1275,338,2196,47,75,35,001,000715,1,2630,58.060836501901136,87.14828897338403,83.49809885931559,4.638783269961976,350010007151
Block Group 1; Census Tract 7.16; Bernalillo County; New Mexico,1491,173,441,335,967,8,77,35,001,000716,1,1491,41.180415828303154,77.53185781354796,64.85580147551978,5.700871898054997,350010007161
Block Group 2; Census Tract 7.16; Bernalillo County; New Mexico,1324,195,0,97,900,0,0,35,001,000716,2,1324,14.72809667673716,92.6737160120846,67.97583081570997,0.0,350010007162
Block Group 3; Census Tract 7.16; Bernalillo County; New Mexico,605,286,113,131,474,12,37,35,001,000716,3,605,65.95041322314049,78.34710743801652,78.34710743801652,8.099173553719009,350010007163
Block Group 4; Census Tract 7.16; Bernalillo County; New Mexico,1169,0,44,118,1019,7,0,35,001,000716,4,1169,3.7639007698887936,89.90590248075279,87.16852010265184,0.5988023952095809,350010007164
Block Group 1; Census Tract 7.17; Bernalillo County; New Mexico,2035,214,338,554,1067,10,190,35,001,000717,1,2035,27.125307125307124,72.77641277641278,52.43243243243243,9.828009828009828,350010007171
Block Group 1; Census Tract 7.18; Bernalillo County; New Mexico,1593,0,229,494,940,0,0,35,001,000718,1,1593,14.375392341494036,68.98932831136221,59.008160703075966,0.0,350010007181
Block Group 2; Census Tract 7.18; Bernalillo County; New Mexico,909,18,18,371,338,12,0,35,001,000718,2,909,3.9603960396039604,59.185918591859185,37.18371837183718,1.3201320132013201,350010007182
Block Group 3; Census Tract 7.18; Bernalillo County; New Mexico,1402,86,380,445,828,0,0,35,001,000718,3,1402,33.238231098430816,68.25962910128388,59.05848787446505,0.0,350010007183
Block Group 1; Census Tract 7.19; Bernalillo County; New Mexico,3117,0,0,1584,724,0,0,35,001,000719,1,3117,0.0,49.18190567853705,23.227462303496953,0.0,350010007191
Block Group 1; Census Tract 7.20; Bernalillo County; New Mexico,658,139,20,309,203,11,0,35,001,000720,1,658,24.164133738601823,53.03951367781154,30.851063829787233,1.6717325227963524,350010007201
Block Group 2; Census Tract 7.20; Bernalillo County; New Mexico,1940,115,15,1326,486,18,0,35,001,000720,2,1940,6.701030927835052,31.649484536082472,25.051546391752577,0.9278350515463918,350010007202
Block Group 3; Census Tract 7.20; Bernalillo County; New Mexico,1278,0,0,1037,140,17,0,35,001,000720,3,1278,0.0,18.857589984350543,10.954616588419405,1.330203442879499,350010007203
Block Group 1; Census Tract 9.04; Bernalillo County; New Mexico,1914,440,578,396,856,28,114,35,001,000904,1,1914,53.18704284221526,79.3103448275862,44.72309299895507,7.41901776384535,350010009041
Block Group 2; Census Tract 9.04; Bernalillo County; New Mexico,2127,130,160,831,1160,57,166,35,001,000904,2,2127,13.63422661024918,60.93088857545838,54.53690644099672,10.484250117536437,350010009042
Block Group 1; Census Tract 9.05; Bernalillo County; New Mexico,1771,312,83,515,815,0,98,35,001,000905,1,1771,22.30378317334839,70.92038396386222,46.01919819311124,5.533596837944664,350010009051
Block Group 1; Census Tract 9.06; Bernalillo County; New Mexico,1528,132,322,705,661,0,284,35,001,000906,1,1528,29.712041884816752,53.86125654450262,43.25916230366492,18.586387434554975,350010009061
Block Group 2; Census Tract 9.06; Bernalillo County; New Mexico,1336,186,306,651,306,0,157,35,001,000906,2,1336,36.82634730538922,51.272455089820355,22.904191616766468,11.751497005988023,350010009062
Block Group 3; Census Tract 9.06; Bernalillo County; New Mexico,638,0,0,369,127,0,16,35,001,000906,3,638,0.0,42.16300940438872,19.905956112852667,2.507836990595611,350010009063
Block Group 1; Census Tract 9.07; Bernalillo County; New Mexico,794,189,246,129,626,0,39,35,001,000907,1,794,54.78589420654912,83.75314861460957,78.84130982367759,4.91183879093199,350010009071
Block Group 2; Census Tract 9.07; Bernalillo County; New Mexico,811,464,16,135,373,44,21,35,001,000907,2,811,59.1861898890259,83.35388409371147,45.99260172626387,8.014796547472256,350010009072
Block Group 3; Census Tract 9.07; Bernalillo County; New Mexico,591,174,127,83,477,0,29,35,001,000907,3,591,50.930626057529615,85.95600676818951,80.71065989847716,4.906937394247039,350010009073
